Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL,
3.899998,-0.9657779,1.493548,0.1419723,0.8779355,1.004472,-1.576224,0.1388776,-1.088859,0.04975421,-0.05500006,0.05499998,-0.04541701, 
3.999998,-0.969862,1.516848,0.1420706,0.9030857,1.003669,-1.576713,0.13887,-1.088928,0.04988495,-0.05500002,0.05499996,-0.04541012, 
4.099998,-0.974173,1.539817,0.1421709,0.9279043,1.003163,-1.57708,0.1388678,-1.088981,0.05001982,-0.05500012,0.05499995,-0.04540863, 
4.199998,-0.9767212,1.560429,0.1422889,0.9496511,1.003128,-1.577481,0.1388774,-1.089016,0.05016451,-0.05500003,0.05500005,-0.04541741, 
4.299998,-0.9722182,1.572769,0.1424661,0.9604896,1.004193,-1.578179,0.1389218,-1.088998,0.05032675,-0.05500006,0.05500008,-0.04545564, 
4.399998,-0.9656383,1.580465,0.142641,0.9659351,1.005938,-1.57886,0.1389817,-1.088963,0.05046247,-0.05499999,0.05500006,-0.04551011, 
4.499998,-0.9592853,1.585422,0.1427897,0.9686752,1.007928,-1.579436,0.1307,-1.088911,0.05056529,-0.05500007,0.05500003,-0.04557455, 
4.599998,-0.9539621,1.588686,0.1429011,0.9701064,1.009987,-1.580029,0.1182096,-1.088806,0.05063724,-0.0550001,0.05499997,-0.04571139, 
4.699998,-0.9498081,1.590885,0.1429792,0.9708742,1.012012,-1.580692,0.103617,-1.088684,0.05068543,-0.05500014,0.05499998,-0.04591522, 
4.799998,-0.9466666,1.592369,0.1430305,0.9713106,1.013862,-1.581356,0.09303143,-1.088527,0.05071653,-0.05500012,0.05500001,-0.04616178, 
4.899998,-0.9443628,1.593398,0.1430653,0.971555,1.015467,-1.581914,0.08775165,-1.088387,0.05073699,-0.05500009,0.05500009,-0.04638885, 
4.999998,-0.9426873,1.594131,0.1430914,0.9717121,1.016742,-1.582298,0.08513405,-1.088265,0.05075124,-0.05500008,0.05499998,-0.04655783, 
5.099998,-0.941483,1.594638,0.1431112,0.9718168,1.017736,-1.582525,0.0838393,-1.088178,0.05076177,-0.055,0.05500001,-0.04667223, 
5.199997,-0.9406103,1.595004,0.1431267,0.9718691,1.018487,-1.582647,0.08320058,-1.088126,0.05076943,-0.05499999,0.0550001,-0.04674576, 
5.299997,-0.9399995,1.595266,0.1431383,0.971904,1.019063,-1.582699,0.0828867,-1.088091,0.05077501,-0.05500008,0.05499998,-0.04679189, 
5.399997,-0.9395456,1.59544,0.1431474,0.971939,1.019517,-1.582717,0.08273364,-1.088056,0.05077925,-0.05499994,0.05500004,-0.04682029, 
5.499997,-0.9392489,1.59558,0.1431542,0.9719564,1.019848,-1.582717,0.08265949,-1.088038,0.0507822,-0.05500013,0.05500001,-0.04683774, 
5.599997,-0.939022,1.595685,0.1431593,0.9719564,1.02011,-1.582699,0.08262385,-1.088021,0.05078455,-0.05499994,0.05499997,-0.04684855, 
5.699997,-0.9388649,1.595737,0.1431629,0.9719738,1.020302,-1.582682,0.08260692,-1.088003,0.05078619,-0.05500004,0.05500004,-0.04685525, 
5.799997,-0.9387602,1.595789,0.1431633,0.9719738,1.020459,-1.582665,0.08259941,-1.088003,0.05078745,-0.05500001,0.05500007,-0.04685939, 
5.899997,-0.9387254,1.595824,0.132227,0.9719564,1.020581,-1.582647,0.08259714,-1.087986,0.05078699,-0.05500007,0.05500004,-0.04686275, 
5.999997,-0.9388649,1.596069,0.1156971,0.9718691,1.020721,-1.582665,0.08260096,-1.087968,0.05082291,-0.05500004,0.055,-0.04687054, 
6.099997,-0.9391966,1.596522,0.096394,0.9716946,1.020861,-1.582734,0.08261157,-1.087951,0.05089758,-0.05500006,0.055,-0.04688416, 
6.199996,-0.9396678,1.597151,0.07571739,0.9714503,1.021018,-1.582822,0.08262683,-1.087916,0.05100129,-0.05500007,0.05500001,-0.04690216, 
6.299996,-0.9402438,1.597866,0.05951947,0.971171,1.021192,-1.582926,0.08264519,-1.087881,0.05112506,-0.055,0.05500017,-0.04692144, 
6.399996,-0.9408023,1.59853,0.05388147,0.9709267,1.021314,-1.583014,0.08266259,-1.087846,0.05124393,-0.05500007,0.05447813,-0.03995471, 
6.499996,-0.941256,1.598983,0.04368896,0.9707521,1.021402,-1.583049,0.08267153,-1.087829,0.05132459,-0.05500009,0.04974373,-0.02949192, 
6.599996,-0.94164,1.599385,0.03852159,0.9705951,1.021471,-1.583084,0.08267833,-1.087811,0.05140026,-0.05500001,0.04384574,-0.01875869, 
6.699996,-0.9419368,1.599681,0.03595632,0.9704729,1.021524,-1.583118,0.0826825,-1.087794,0.05145653,-0.05500003,0.04089344,-0.01339418, 
6.799996,-0.9421636,1.599874,0.03468436,0.970403,1.021559,-1.583136,0.08268512,-1.087776,0.05149393,-0.05500007,0.03941592,-0.01071326, 
6.899996,-0.9423207,1.599996,0.03405446,0.9703507,1.021576,-1.583153,0.08268595,-1.087776,0.05151738,-0.05500002,0.03867662,-0.009373371, 
6.999996,-0.942408,1.600065,0.03374261,0.9703158,1.021576,-1.583153,0.08268655,-1.087776,0.05153131,-0.05500005,0.03830673,-0.008703541, 
7.099996,-0.9424778,1.6001,0.03358787,0.9702983,1.021576,-1.583153,0.08268691,-1.087776,0.05153944,-0.05500004,0.03812174,-0.00836876, 
7.199996,-0.9425301,1.600118,0.03351122,0.9702983,1.021576,-1.583153,0.08268691,-1.087776,0.05154415,-0.05500007,0.03802923,-0.008201209, 
7.299995,-0.9425476,1.600135,0.03347331,0.9702983,1.021576,-1.583153,0.08268679,-1.087759,0.05154676,-0.05500002,0.03798305,-0.008117612, 
7.399995,-0.9425651,1.600135,0.03345448,0.9702809,1.021576,-1.583153,0.08268679,-1.087759,0.05154813,-0.0550001,0.03795991,-0.008075768, 
7.499995,-0.9425825,1.600135,0.03344494,0.9702809,1.021576,-1.583153,0.08268655,-1.087759,0.05154903,-0.05500008,0.03794837,-0.008054866, 
7.599995,-0.9425825,1.600135,0.03344041,0.9702809,1.021576,-1.583153,0.08268667,-1.087759,0.05154942,-0.05500006,0.03794253,-0.008044389, 
7.699995,-0.9426,1.600135,0.03343827,0.9702809,1.021576,-1.583153,0.08268643,-1.087759,0.05154964,-0.05500006,0.0379398,-0.008038977, 
7.799995,-0.9426,1.600135,0.03343683,0.9702809,1.021576,-1.583153,0.08268643,-1.087759,0.05154977,-0.05500004,0.0379383,-0.008036404, 
7.899995,-0.9426,1.600135,0.03343624,0.9702809,1.021576,-1.583153,0.08268631,-1.087759,0.05154867,-0.05500007,0.03793772,-0.008035124, 
7.999995,-0.9426174,1.600135,0.03343588,0.9703158,1.021576,-1.583153,0.08268619,-1.087759,0.0470652,-0.04968837,0.03793738,-0.008034416, 
8.099995,-0.9426348,1.600135,0.03343564,0.9703507,1.021576,-1.583153,0.08268619,-1.087759,0.04034144,-0.04006093,0.03793719,-0.008033976, 
8.199995,-0.9426523,1.600118,0.03343588,0.9703856,1.021576,-1.583136,0.08270252,-1.087759,0.03345059,-0.02975784,0.03793724,-0.008033684, 
8.299995,-0.9426523,1.600118,0.03343588,0.970403,1.021559,-1.583153,0.09105981,-1.087776,0.03000455,-0.02460603,0.03792678,-0.008031216, 
8.399996,-0.9426523,1.600135,0.03344136,0.970403,1.021402,-1.582979,0.1036165,-1.087829,0.02828329,-0.0220282,0.03798087,-0.00795781, 
8.499996,-0.9426174,1.600153,0.03345245,0.9703856,1.021105,-1.58263,0.1182627,-1.087934,0.02742533,-0.0207366,0.03810335,-0.007812801, 
8.599997,-0.9426,1.60017,0.03346759,0.9703507,1.020703,-1.582158,0.1288733,-1.088038,0.02699961,-0.02008752,0.03828537,-0.007614612, 
8.699997,-0.9425651,1.600188,0.03348213,0.9703158,1.020319,-1.581705,0.1341741,-1.088143,0.02678912,-0.01976074,0.03846804,-0.007423665, 
8.799997,-0.9425476,1.600205,0.03349251,0.9702983,1.020023,-1.581356,0.1368105,-1.088213,0.02668494,-0.01959614,0.03860632,-0.007281328, 
8.899998,-0.9425301,1.600222,0.0334993,0.9702809,1.019831,-1.581146,0.1381216,-1.088248,0.02663341,-0.01951342,0.03869923,-0.007186342, 
8.999998,-0.9425127,1.600222,0.03350347,0.9702634,1.019726,-1.581007,0.138773,-1.088283,0.02660781,-0.0194717,0.03875775,-0.007126791, 
