Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
1.799999, -0.7894473, 0.799099, 0.1790453, 0.02853613, 0.7833212, -0.807494, 0.1491935, -0.02441716, -0.05480639, 0.05483977, -0.05500006, 0.05344933, 
1.849999, -0.7903724, 0.802101, 0.1790923, 0.03181735, 0.7846302, -0.8105484, 0.149222, -0.0280998, -0.05482381, 0.0548556, -0.05500001, 0.05356672, 
1.899999, -0.7910181, 0.804684, 0.1791322, 0.03454006, 0.7855726, -0.8131663, 0.149251, -0.03115413, -0.05483817, 0.0548686, -0.05500005, 0.05365947, 
1.949999, -0.7943866, 0.8091347, 0.1791587, 0.04075344, 0.789011, -0.8182976, 0.1492821, -0.03764675, -0.05484708, 0.0548798, -0.05500005, 0.05372697, 
1.999999, -0.796289, 0.813306, 0.1791821, 0.04598942, 0.7910356, -0.8229926, 0.1493205, -0.04310963, -0.0548579, 0.05488957, -0.05500007, 0.05377234, 
2.049999, -0.7974235, 0.8170061, 0.1792048, 0.0503702, 0.7922224, -0.8271464, 0.1493661, -0.04764749, -0.05486752, 0.05489762, -0.05500003, 0.05380177, 
2.099999, -0.798139, 0.8202174, 0.1792247, 0.05403539, 0.792938, -0.8307418, 0.1494105, -0.05143485, -0.0548754, 0.05490412, -0.05499995, 0.05382046, 
2.149999, -0.7986103, 0.8229576, 0.1792415, 0.05708972, 0.7933569, -0.8338135, 0.1494506, -0.05457645, -0.05488163, 0.05490929, -0.05499996, 0.05383188, 
2.199999, -0.8018042, 0.8275478, 0.1792491, 0.06356489, 0.7963938, -0.839294, 0.149489, -0.06113888, -0.05488374, 0.05491385, -0.05500003, 0.05383224, 
2.249999, -0.8035671, 0.8318413, 0.1792568, 0.06902777, 0.7980693, -0.844303, 0.1495328, -0.06665412, -0.05488908, 0.05491817, -0.05500004, 0.05382204, 
2.299999, -0.8045968, 0.8356462, 0.1792667, 0.07358308, 0.7989768, -0.8487012, 0.1495813, -0.07126179, -0.0548939, 0.05492166, -0.05500003, 0.05380576, 
2.349999, -0.8052076, 0.8389449, 0.1792754, 0.0773879, 0.7994481, -0.8524886, 0.1496265, -0.07508407, -0.05489778, 0.05492432, -0.05499998, 0.05378656, 
2.399999, -0.8056091, 0.8417549, 0.1792825, 0.08058185, 0.7997273, -0.8556477, 0.1496379, -0.07834782, -0.05490069, 0.05492619, -0.05500003, 0.05378916, 
2.449999, -0.8088554, 0.8465196, 0.179283, 0.08731882, 0.8026944, -0.8613025, 0.1496553, -0.08510225, -0.05489999, 0.05492795, -0.05499998, 0.05378208, 
2.499999, -0.810653, 0.8509527, 0.1792846, 0.09299114, 0.8043349, -0.8664163, 0.1496809, -0.09077458, -0.054903, 0.05493004, -0.05500004, 0.05376536, 
2.549999, -0.8116654, 0.8548797, 0.1792893, 0.09773844, 0.8051901, -0.8709193, 0.1497139, -0.09550442, -0.05490594, 0.05493178, -0.05500006, 0.05374316, 
2.599999, -0.8122588, 0.8582831, 0.1792941, 0.1017003, 0.8056265, -0.8748114, 0.149746, -0.09943141, -0.05490826, 0.05493286, -0.05499998, 0.05371908, 
2.649999, -0.8126253, 0.8611978, 0.1792985, 0.1050165, 0.805836, -0.8781101, 0.1497751, -0.1027126, -0.0549098, 0.05493325, -0.05499998, 0.05369518, 
2.699999, -0.8196939, 0.8692263, 0.179285, 0.1172861, 0.809536, -0.884498, 0.1498104, -0.1102874, -0.05490461, 0.05493486, -0.05500002, 0.05366433, 
2.749999, -0.8236732, 0.8769232, 0.1792764, 0.1276534, 0.8114036, -0.8903623, 0.1498593, -0.1166404, -0.05491023, 0.05493935, -0.05500002, 0.05361881, 
2.799999, -0.8259247, 0.8838871, 0.179277, 0.1363277, 0.812346, -0.895511, 0.149919, -0.1219113, -0.05491677, 0.05494396, -0.05500003, 0.05356609, 
2.849998, -0.8272337, 0.8899783, 0.1792796, 0.1435708, 0.8127998, -0.8999615, 0.149976, -0.126292, -0.05492188, 0.05494709, -0.05500004, 0.05351282, 
2.899998, -0.8280191, 0.8951969, 0.1792832, 0.1496271, 0.8129744, -0.9037664, 0.1500001, -0.1299398, -0.05492506, 0.05494846, -0.05500002, 0.05346229, 
2.949998, -0.835332, 0.9052325, 0.1792697, 0.1641831, 0.8166046, -0.9105732, 0.1500001, -0.1378112, -0.05492087, 0.05494979, -0.05500003, 0.05340787, 
2.999998, -0.839451, 0.9145874, 0.1792625, 0.1764528, 0.8183849, -0.9168738, 0.1500001, -0.1443562, -0.05492902, 0.05495601, -0.05499998, 0.0533162, 
3.049998, -0.8417723, 0.922965, 0.1792623, 0.1867328, 0.8192226, -0.922389, 0.15, -0.1497667, -0.05493699, 0.05496161, -0.05500005, 0.05322432, 
3.099998, -0.8431336, 0.930243, 0.179265, 0.1953023, 0.8195717, -0.9271538, 0.15, -0.1542697, -0.05494225, 0.05496479, -0.05500009, 0.05313802, 
3.149998, -0.843954, 0.9364564, 0.1792689, 0.2024582, 0.819659, -0.9312029, 0.1500002, -0.1580221, -0.05494484, 0.05496544, -0.05500003, 0.05305967, 
3.199998, -0.8532042, 0.9489704, 0.17925, 0.2206794, 0.8233241, -0.9382541, 0.1499999, -0.1659983, -0.05493871, 0.05496571, -0.05500005, 0.05298154, 
3.249998, -0.8584402, 0.9606816, 0.1792382, 0.2360558, 0.825052, -0.9446943, 0.1499999, -0.1726654, -0.0549502, 0.05497492, -0.05500006, 0.05289098, 
3.299998, -0.8614072, 0.9711536, 0.1792382, 0.2489189, 0.8258724, -0.9503492, 0.1499999, -0.1781806, -0.05496136, 0.05498344, -0.05500001, 0.05279683, 
3.349998, -0.8631351, 0.9802642, 0.1792409, 0.2596526, 0.826204, -0.9552013, 0.1499999, -0.1827709, -0.05496856, 0.05498823, -0.05500001, 0.05270657, 
3.399998, -0.8641823, 0.9880483, 0.1792457, 0.2686236, 0.8262737, -0.9593377, 0.1499999, -0.1865931, -0.05497172, 0.05498916, -0.05499997, 0.05262386, 
