Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL
3.499999, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
3.599999, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
3.699999, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
3.799999, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
3.899998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
3.999998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.099998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.199998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.299998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.399998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.499998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.599998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.699998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.799998, -0.7607017, 0.8014028, 0.1500001, 0.004101524, 0.7725351, -0.7919955, 0.1792399, -0.0275762, 0.05499994, -0.05220871, 0.05327995, -0.05500004, 
4.899998, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
4.999998, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.099998, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.199997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.299997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.399997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.499997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.599997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
5.699997, -0.8682315, 0.8741481, 0.1500001, 0.04349361, 0.763215, -0.8097455, 0.1800012, -0.02247984, 0.05149509, -0.05500002, 0.03591157, -0.05499998, 
