Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
1.452,-0.8035,0.8318,0.1492,-0.0690,0.7971,-0.8447,0.1497,0.0663,-0.0549,0.0549,-0.0550,0.0537, 
1.485,-0.8045,0.8356,0.1492,-0.0736,0.7979,-0.8491,0.1498,0.0708,-0.0549,0.0549,-0.0550,0.0537, 
1.518,-0.8051,0.8389,0.1493,-0.0774,0.7984,-0.8529,0.1498,0.0746,-0.0549,0.0549,-0.0550,0.0536, 
1.551,-0.8055,0.8417,0.1493,-0.0806,0.7986,-0.8562,0.1499,0.0778,-0.0549,0.0549,-0.0550,0.0536, 
1.584,-0.8088,0.8465,0.1493,-0.0873,0.8016,-0.8619,0.1499,0.0845,-0.0549,0.0549,-0.0550,0.0536, 
1.617,-0.8106,0.8509,0.1493,-0.0930,0.8031,-0.8671,0.1500,0.0901,-0.0549,0.0549,-0.0550,0.0535, 
1.65,-0.8116,0.8548,0.1493,-0.0978,0.8039,-0.8717,0.1500,0.0948,-0.0549,0.0549,-0.0550,0.0535, 
1.683,-0.8122,0.8582,0.1493,-0.1017,0.8043,-0.8756,0.1500,0.0987,-0.0549,0.0549,-0.0550,0.0535, 
1.716,-0.8126,0.8611,0.1493,-0.1050,0.8045,-0.8789,0.1500,0.1019,-0.0549,0.0549,-0.0550,0.0534, 
1.749,-0.8196,0.8692,0.1493,-0.1173,0.8082,-0.8854,0.1500,0.1095,-0.0549,0.0549,-0.0550,0.0534, 
1.782,-0.8236,0.8769,0.1493,-0.1277,0.8100,-0.8913,0.1500,0.1158,-0.0549,0.0549,-0.0550,0.0533, 
1.815,-0.8259,0.8838,0.1493,-0.1363,0.8109,-0.8964,0.1500,0.1211,-0.0549,0.0549,-0.0550,0.0533, 
1.848,-0.8272,0.8899,0.1493,-0.1436,0.8113,-0.9009,0.1500,0.1254,-0.0549,0.0549,-0.0550,0.0532, 
1.881,-0.8280,0.8951,0.1493,-0.1496,0.8115,-0.9047,0.1500,0.1291,-0.0549,0.0549,-0.0550,0.0532, 
1.914,-0.8353,0.9052,0.1492,-0.1642,0.8151,-0.9115,0.1500,0.1369,-0.0549,0.0550,-0.0550,0.0531, 
1.947,-0.8394,0.9146,0.1492,-0.1765,0.8168,-0.9177,0.1500,0.1435,-0.0549,0.0550,-0.0550,0.0530, 
1.98,-0.8418,0.9229,0.1492,-0.1867,0.8177,-0.9232,0.1500,0.1490,-0.0549,0.0550,-0.0550,0.0530, 
2.013,-0.8431,0.9302,0.1492,-0.1953,0.8181,-0.9279,0.1500,0.1536,-0.0549,0.0550,-0.0550,0.0529, 
2.046,-0.8440,0.9364,0.1492,-0.2025,0.8182,-0.9319,0.1500,0.1573,-0.0549,0.0550,-0.0550,0.0528, 
2.079,-0.8532,0.9489,0.1492,-0.2207,0.8219,-0.9389,0.1500,0.1653,-0.0549,0.0550,-0.0550,0.0528, 
2.112,-0.8585,0.9606,0.1492,-0.2361,0.8236,-0.9453,0.1500,0.1721,-0.0549,0.0550,-0.0550,0.0527, 
2.145,-0.8615,0.9711,0.1492,-0.2489,0.8245,-0.9509,0.1500,0.1777,-0.0550,0.0550,-0.0550,0.0526, 
2.178,-0.8632,0.9802,0.1492,-0.2597,0.8249,-0.9557,0.1500,0.1823,-0.0550,0.0550,-0.0550,0.0525, 
2.211,-0.8643,0.9880,0.1492,-0.2686,0.8250,-0.9597,0.1500,0.1862,-0.0550,0.0550,-0.0550,0.0525, 
2.244,-0.8743,1.0024,0.1492,-0.2893,0.8287,-0.9668,0.1500,0.1942,-0.0550,0.0550,-0.0550,0.0524, 
2.277,-0.8800,1.0158,0.1492,-0.3067,0.8304,-0.9733,0.1500,0.2010,-0.0550,0.0550,-0.0550,0.0523, 
2.31,-0.8832,1.0277,0.1492,-0.3212,0.8312,-0.9790,0.1500,0.2065,-0.0550,0.0550,-0.0550,0.0522, 
2.343,-0.8851,1.0380,0.1492,-0.3334,0.8316,-0.9839,0.1500,0.2111,-0.0550,0.0550,-0.0550,0.0521, 
2.376,-0.8862,1.0468,0.1492,-0.3435,0.8316,-0.9881,0.1500,0.2149,-0.0550,0.0550,-0.0550,0.0520, 
2.409,-0.8972,1.0630,0.1492,-0.3665,0.8353,-0.9953,0.1500,0.2229,-0.0550,0.0550,-0.0550,0.0519, 
2.442,-0.9035,1.0779,0.1492,-0.3859,0.8370,-1.0019,0.1500,0.2296,-0.0550,0.0550,-0.0550,0.0518, 
2.475,-0.9070,1.0912,0.1492,-0.4021,0.8377,-1.0077,0.1500,0.2352,-0.0550,0.0550,-0.0550,0.0517, 
2.508,-0.9090,1.1028,0.1492,-0.4157,0.8380,-1.0126,0.1500,0.2398,-0.0550,0.0550,-0.0550,0.0516, 
2.541,-0.9103,1.1126,0.1492,-0.4270,0.8380,-1.0168,0.1500,0.2436,-0.0550,0.0550,-0.0550,0.0515, 
2.574,-0.9226,1.1307,0.1492,-0.4528,0.8418,-1.0241,0.1500,0.2516,-0.0550,0.0550,-0.0550,0.0514, 
2.607,-0.9296,1.1475,0.1491,-0.4746,0.8435,-1.0307,0.1500,0.2583,-0.0550,0.0550,-0.0550,0.0513, 
2.64,-0.9336,1.1625,0.1491,-0.4928,0.8442,-1.0365,0.1500,0.2639,-0.0550,0.0550,-0.0550,0.0512, 
