Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
1.799999, -0.7816283, 0.7832339, 0.1790628, 5.235988E-05, 0.7709643, -0.7953814, 0.1499997, 0.01075123, -0.0548925, 0.05490613, -0.05500002, 0.05161168, 
1.849999, -0.78189, 0.7834609, 0.1791075, 5.235988E-05, 0.7711912, -0.7958352, 0.1499998, 0.01082104, -0.05490809, 0.05492178, -0.05500002, 0.05160572, 
1.899999, -0.7820995, 0.7836528, 0.1791449, 5.235988E-05, 0.7713832, -0.7962018, 0.1499998, 0.0108734, -0.05492117, 0.05493468, -0.05500004, 0.05159988, 
1.949999, -0.782274, 0.7838099, 0.1791758, 5.235988E-05, 0.7715403, -0.7965333, 0.1499998, 0.01092576, -0.05493204, 0.0549455, -0.05499994, 0.05159439, 
1.999999, -0.7824136, 0.7839496, 0.1792015, 5.235988E-05, 0.7716799, -0.7967951, 0.1499998, 0.01096067, -0.05494104, 0.05495447, -0.05500006, 0.05158924, 
2.049999, -0.7825358, 0.7840543, 0.179223, 5.235988E-05, 0.7717846, -0.797022, 0.15, 0.01099557, -0.05494863, 0.05496199, -0.05499997, 0.05158457, 
2.099999, -0.7826405, 0.7841415, 0.1792408, 5.235988E-05, 0.7718718, -0.797214, 0.1499998, 0.01103048, -0.05495486, 0.05496828, -0.05500001, 0.05158027, 
2.149999, -0.7827278, 0.7842287, 0.1792556, 5.235988E-05, 0.7719417, -0.7973711, 0.1499997, 0.01106539, -0.05496015, 0.05497351, -0.05500005, 0.05157629, 
2.199999, -0.7827976, 0.7842811, 0.1792681, 5.235988E-05, 0.771994, -0.7975107, 0.15, 0.01108284, -0.05496456, 0.05497773, -0.055, 0.05157281, 
2.249999, -0.78285, 0.7843335, 0.1792782, 5.235988E-05, 0.7720464, -0.7976329, 0.1499997, 0.01110029, -0.05496823, 0.05498135, -0.05499999, 0.05156962, 
2.299999, -0.7829023, 0.7843859, 0.179287, 5.235988E-05, 0.7720813, -0.7977202, 0.1499998, 0.01111775, -0.05497129, 0.05498432, -0.05500007, 0.05156682, 
2.349999, -0.7829373, 0.7844208, 0.1792941, 5.235988E-05, 0.7721162, -0.7978074, 0.1499998, 0.0111352, -0.05497371, 0.05498691, -0.05499995, 0.05156443, 
2.399999, -0.7829722, 0.7844557, 0.1793, 5.235988E-05, 0.7721511, -0.7978773, 0.1499998, 0.01115265, -0.05497595, 0.05498893, -0.05500001, 0.0515621, 
2.449999, -0.7829896, 0.7844731, 0.1793049, 5.235988E-05, 0.7721686, -0.7979296, 0.1499998, 0.01117011, -0.0549776, 0.05499074, -0.05500002, 0.05156027, 
2.499999, -0.7830245, 0.784508, 0.1793092, 5.235988E-05, 0.772186, -0.797982, 0.1499997, 0.01117011, -0.05497911, 0.05499219, -0.05500001, 0.05155863, 
2.549999, -0.783042, 0.7845255, 0.1793126, 5.235988E-05, 0.7722034, -0.7980169, 0.1499998, 0.01118756, -0.05498031, 0.05499338, -0.05500004, 0.05155709, 
2.599999, -0.7830594, 0.7845255, 0.1793153, 5.235988E-05, 0.7722209, -0.7980518, 0.1499997, 0.01118756, -0.05498134, 0.05499437, -0.05500006, 0.05155578, 
2.649999, -0.7830594, 0.784543, 0.1793176, 5.235988E-05, 0.7722209, -0.7980867, 0.1499997, 0.01120501, -0.05498216, 0.05499531, -0.05500001, 0.05155468, 
2.699999, -0.7830769, 0.7845604, 0.1793197, 5.235988E-05, 0.7722384, -0.7981042, 0.1499998, 0.01120501, -0.05498288, 0.05499589, -0.05499999, 0.05155372, 
