Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
4.399998,-1.0839,1.6386,0.150,-1.080062,1.0278,-1.6316,0.149,0.9512219,-0.0550,0.0549,-0.0550,0.0545, 
4.499998,-1.0929,1.6415,0.141,-1.080132,1.0067,-1.6320,0.149,0.9546602,-0.0550,0.0549,-0.0550,0.0546, 
4.599998,-1.0849,1.6403,0.129,-1.080202,1.0045,-1.6373,0.150,0.9563008,-0.0550,0.0547,-0.0550,0.0547, 
4.699998,-1.0724,1.6312,0.097,-1.079329,1.0105,-1.6283,0.131,0.9636487,-0.0550,0.0536,-0.0538,0.0550, 
4.799998,-1.0749,1.6375,0.097,-1.078858,1.0188,-1.6357,0.143,0.9604546,-0.0546,0.0546,-0.0547,0.0546, 
4.899998,-1.0800,1.6378,0.095,-1.079364,1.0145,-1.6400,0.146,0.9586745,-0.0546,0.0550,-0.0550,0.0545, 
4.999998,-1.0776,1.6417,0.094,-1.079713,1.0109,-1.6410,0.148,0.9579239,-0.0548,0.0549,-0.0550,0.0545, 
5.099998,-1.0824,1.6420,0.093,-1.079975,1.0056,-1.6391,0.148,0.9578542,-0.0549,0.0549,-0.0550,0.0546, 
5.199997,-1.0843,1.6392,0.093,-1.079992,1.0019,-1.6426,0.149,0.9577146,-0.0549,0.0549,-0.0550,0.0546, 
5.299997,-1.0769,1.6396,0.093,-1.080062,1.0132,-1.6449,0.149,0.9572084,-0.0550,0.0548,-0.0550,0.0546, 
5.399997,-1.0783,1.6400,0.093,-1.079992,1.0141,-1.6421,0.149,0.957348,-0.0550,0.0549,-0.0550,0.0546, 
5.499997,-1.0828,1.6389,0.093,-1.080027,1.0036,-1.6423,0.149,0.9575749,-0.0550,0.0549,-0.0550,0.0547, 
5.599997,-1.0846,1.6375,0.093,-1.08001,1.0000,-1.6444,0.149,0.9576098,-0.0550,0.0549,-0.0550,0.0547, 
