Joint1L,Joint2L,Joint3L,Joint4L,Joint1U,Joint2U,Joint3U,Joint4U
-59.3501,40.9784,0.08887581,18.37134,44.99363,-44.99285,0.09000197,-0.001499258
-61.31652,40.42829,0.08872181,20.88781,44.99353,-44.99264,0.09000224,-0.001704619
-63.28458,39.87773,0.0885677,23.40639,44.99343,-44.99243,0.09000251,-0.001909961
-65.2486,39.3283,0.08841389,25.91979,44.99333,-44.99222,0.09000278,-0.002115269
-67.21481,38.77826,0.08825992,28.43598,44.99323,-44.99201,0.09000305,-0.002320626
-69.18103,38.22821,0.08810595,30.9522,44.99312,-44.99181,0.09000332,-0.002526017
-71.1469,37.67826,0.087952,33.46798,44.99302,-44.99159,0.09000359,-0.002731311
-73.11336,37.12815,0.08779801,35.98449,44.99292,-44.99139,0.09000386,-0.002936678
-75.07953,36.57812,0.08764403,38.50065,44.99282,-44.99118,0.09000413,-0.003142063
-77.04546,36.02816,0.08749008,41.01649,44.99272,-44.99097,0.0900044,-0.00334741
-78.20757,35.70306,0.08739908,42.50366,44.99266,-44.99084,0.09000456,-0.003468799
-79.02986,35.47303,0.08733469,43.55597,44.99261,-44.99076,0.09000468,-0.003554682
-79.85189,35.24306,0.08727031,44.60794,44.99257,-44.99067,0.09000479,-0.003640531
-80.67398,35.01309,0.08720593,45.65999,44.99253,-44.99058,0.0900049,-0.003726393
-81.4961,34.7831,0.08714155,46.71209,44.99249,-44.99049,0.09000501,-0.003812251
-82.31817,34.55313,0.08707718,47.76409,44.99244,-44.99041,0.09000513,-0.003898112
-83.14024,34.32316,0.0870128,48.81611,44.9924,-44.99032,0.09000524,-0.003983969
-83.96214,34.09324,0.08694844,49.86792,44.99236,-44.99023,0.09000535,-0.004069829
-84.78441,33.8632,0.08688404,50.9202,44.99232,-44.99015,0.09000546,-0.004155693
-85.60651,33.63322,0.08681966,51.97225,44.99228,-44.99006,0.09000558,-0.00424155
-86.42849,33.40328,0.0867553,53.02416,44.99223,-44.98997,0.09000569,-0.004327394
-87.25108,33.17316,0.08669088,54.07685,44.99219,-44.98988,0.09000581,-0.004413223
-88.0731,32.9432,0.08662651,55.12881,44.99215,-44.9898,0.09000592,-0.004499079
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
-88.50838,32.82143,0.08659242,55.68585,44.99213,-44.98975,0.09000598,-0.004544654
